Title,Price,Price_Numeric,Availability,Rating,Rating_Numeric,Price_Category
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,59.64,In stock,One,1,Luxury (£50+)
The Death of Humanity: and the Case for Life,£58.11,58.11,In stock,Four,4,Luxury (£50+)
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,58.08,In stock,Four,4,Luxury (£50+)
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,57.36,In stock,Five,5,Luxury (£50+)
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,57.36,In stock,Four,4,Luxury (£50+)
Slow States of Collapse: Poems,£57.31,57.31,In stock,Three,3,Luxury (£50+)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,57.25,In stock,Three,3,Luxury (£50+)
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,56.76,In stock,Five,5,Luxury (£50+)
The Past Never Ends,£56.50,56.5,In stock,Four,4,Luxury (£50+)
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,56.41,In stock,One,1,Luxury (£50+)
Masks and Shadows,£56.40,56.4,In stock,Two,2,Luxury (£50+)
The Secret of Dreadwillow Carse,£56.13,56.13,In stock,One,1,Luxury (£50+)
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,56.06,In stock,One,1,Luxury (£50+)
Suddenly in Love (Lake Haven #1),£55.99,55.99,In stock,Two,2,Luxury (£50+)
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,55.85,In stock,One,1,Luxury (£50+)
A Flight of Arrows (The Pathfinders #2),£55.53,55.53,In stock,Five,5,Luxury (£50+)
The Girl on the Train,£55.02,55.02,In stock,Two,2,Luxury (£50+)
Birdsong: A Story in Pictures,£54.64,54.64,In stock,Three,3,Luxury (£50+)
I am a Hero Omnibus Volume 1,£54.63,54.63,In stock,Three,3,Luxury (£50+)
Eureka Trivia 6.0,£54.59,54.59,In stock,Four,4,Luxury (£50+)
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,54.35,In stock,Two,2,Luxury (£50+)
Sapiens: A Brief History of Humankind,£54.23,54.23,In stock,Five,5,Luxury (£50+)
The Murder That Never Was (Forensic Instincts #5),£54.11,54.11,In stock,Three,3,Luxury (£50+)
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,54.0,In stock,Five,5,Luxury (£50+)
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,53.9,In stock,Two,2,Luxury (£50+)
Tipping the Velvet,£53.74,53.74,In stock,One,1,Luxury (£50+)
Finders Keepers (Bill Hodges Trilogy #2),£53.53,53.53,In stock,Five,5,Luxury (£50+)
Aladdin and His Wonderful Lamp,£53.13,53.13,In stock,Three,3,Luxury (£50+)
Thirteen Reasons Why,£52.72,52.72,In stock,One,1,Luxury (£50+)
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,52.37,In stock,One,1,Luxury (£50+)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,52.29,In stock,Five,5,Luxury (£50+)
Behind Closed Doors,£52.22,52.22,In stock,Four,4,Luxury (£50+)
The Black Maria,£52.15,52.15,In stock,One,1,Luxury (£50+)
Danganronpa Volume 1,£51.99,51.99,In stock,Four,4,Luxury (£50+)
A Light in the Attic,£51.77,51.77,In stock,Three,3,Luxury (£50+)
The Regional Office Is Under Attack!,£51.36,51.36,In stock,Five,5,Luxury (£50+)
Libertarianism for Beginners,£51.33,51.33,In stock,Two,2,Luxury (£50+)
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,51.04,In stock,Two,2,Luxury (£50+)
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,50.4,In stock,Three,3,Luxury (£50+)
"We Love You, Charlie Freeman",£50.27,50.27,In stock,Five,5,Luxury (£50+)
Soumission,£50.10,50.1,In stock,One,1,Luxury (£50+)
Bossypants,£49.46,49.46,In stock,Two,2,Premium (£35-50)
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,49.43,In stock,Four,4,Premium (£35-50)
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,49.05,In stock,Three,3,Premium (£35-50)
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,48.56,In stock,Five,5,Premium (£35-50)
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,48.41,In stock,One,1,Premium (£35-50)
Sharp Objects,£47.82,47.82,In stock,Four,4,Premium (£35-50)
Private Paris (Private #10),£47.61,47.61,In stock,Five,5,Premium (£35-50)
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,46.91,In stock,Two,2,Premium (£35-50)
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,46.35,In stock,One,1,Premium (£35-50)
How to Be Miserable: 40 Strategies You Already Use,£46.03,46.03,In stock,One,1,Premium (£35-50)
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,45.61,In stock,Three,3,Premium (£35-50)
The Natural History of Us (The Fine Art of Pretending #2),£45.22,45.22,In stock,Three,3,Premium (£35-50)
It's Only the Himalayas,£45.17,45.17,In stock,Two,2,Premium (£35-50)
Without Borders (Wanderlove #1),£45.07,45.07,In stock,Two,2,Premium (£35-50)
The Glittering Court (The Glittering Court #1),£44.28,44.28,In stock,One,1,Premium (£35-50)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,44.18,In stock,Four,4,Premium (£35-50)
Wall and Piece,£44.18,44.18,In stock,Four,4,Premium (£35-50)
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,44.1,In stock,Four,4,Premium (£35-50)
Scarlett Epstein Hates It Here,£43.55,43.55,In stock,Five,5,Premium (£35-50)
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,43.54,In stock,Two,2,Premium (£35-50)
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,43.3,In stock,Four,4,Premium (£35-50)
The Mistake (Off-Campus #2),£43.29,43.29,In stock,Three,3,Premium (£35-50)
Crown of Midnight (Throne of Glass #2),£43.29,43.29,In stock,Three,3,Premium (£35-50)
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,42.98,In stock,One,1,Premium (£35-50)
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,42.96,In stock,Four,4,Premium (£35-50)
A World of Flavor: Your Gluten Free Passport,£42.95,42.95,In stock,One,1,Premium (£35-50)
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,42.16,In stock,Three,3,Premium (£35-50)
The Vacationers,£42.15,42.15,In stock,Four,4,Premium (£35-50)
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,41.83,In stock,Four,4,Premium (£35-50)
The Kite Runner,£41.82,41.82,In stock,Four,4,Premium (£35-50)
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,41.62,In stock,Four,4,Premium (£35-50)
Tracing Numbers on a Train,£41.60,41.6,In stock,Three,3,Premium (£35-50)
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,41.25,In stock,One,1,Premium (£35-50)
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,41.06,In stock,One,1,Premium (£35-50)
Night Sky with Exit Wounds,£41.05,41.05,In stock,One,1,Premium (£35-50)
The Art Forger,£40.76,40.76,In stock,Three,3,Premium (£35-50)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,40.3,In stock,Five,5,Premium (£35-50)
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,40.11,In stock,One,1,Premium (£35-50)
Soul Reader,£39.58,39.58,In stock,Two,2,Premium (£35-50)
